"","InversionID","Chrom","windowID_StartBreakpoint","window_StartLowerCI","window_StartUpperCI","windowID_EndBreakpoint","window_EndLowerCI","window_EndUpperCI","SVType","n_ind_startWindows","n_ind_endWindows","n_ind_invID","n_method_startWindows","n_method_endWindows","invSizeMax","invSizeMin"
"227","12107-12084","NC_044064.1","12107",8183538,8209603,"12084",11825734,11855011,"INV",168,210,152,3,3,3671473,3616131
"228","12132-11989","NC_044064.1","12132",8847600,8862102,"11989",8841409,8875971,"INV",150,100,51,3,3,28371,-20693
"229","12132-12017","NC_044064.1","12132",8847600,8862102,"12017",9784279,9800034,"INV",150,197,130,3,3,952434,922177
"230","12162-12017","NC_044064.1","12162",9772101,9796002,"12017",9784279,9800034,"INV",208,197,124,3,3,27933,-11723
"231","12162-12022","NC_044064.1","12162",9772101,9796002,"12022",9969196,9997813,"INV",208,143,142,3,3,225712,173194
"232","12174-12026","NC_044064.1","12174",10164050,10186295,"12026",10173798,10198240,"INV",24,278,16,3,3,34190,-12497
"233","12185-12039","NC_044064.1","12185",10559312,10581660,"12039",10609733,10623302,"INV",40,29,28,3,3,63990,28073
"234","12186-12044","NC_044064.1","12186",10593103,10625107,"12044",10720923,10734662,"INV",243,243,243,3,3,141559,95816
"235","12187-12172","NC_044064.1","12187",10629735,10644097,"12172",14689264,14700045,"INV",92,98,80,3,3,4070310,4045167
"236","12189-12045","NC_044064.1","12189",10740750,10776730,"12045",10741423,10778251,"INV",32,42,31,3,3,37501,-35307
"237","12195-12085","NC_044064.1","12195",11047496,11062123,"12085",11862599,11879273,"INV",131,82,71,3,3,831777,800476
"238","12195-12112","NC_044064.1","12195",11047496,11062123,"12112",12656127,12668738,"INV",131,40,39,3,3,1621242,1594004
"239","12195-12161","NC_044064.1","12195",11047496,11062123,"12161",14339608,14355714,"INV",131,54,52,3,3,3308218,3277485
"240","12219-12087","NC_044064.1","12219",11909961,11931762,"12087",11933339,11967147,"INV",75,64,59,3,3,57186,1577
"241","1222-1116","NC_044049.1","1222",14411632,14432253,"1116",14798884,14809900,"INV",108,107,107,3,3,398268,366631
"242","12222-12089","NC_044064.1","12222",12020546,12030934,"12089",12018286,12037728,"INV",16,16,16,3,3,17182,-12648
"243","12231-12195","NC_044064.1","12231",12313894,12324439,"12195",15660700,15705185,"INV",33,38,33,3,3,3391291,3336261
"244","12240-12106","NC_044064.1","12240",12519339,12532368,"12106",12527235,12537672,"INV",50,50,50,3,3,18333,-5133
"245","12260-12134","NC_044064.1","12260",13491695,13504935,"12134",13494750,13506695,"INV",19,16,16,3,3,15000,-10185
"246","12281-12166","NC_044064.1","12281",14463594,14474378,"12166",14464093,14488631,"INV",120,121,120,3,3,25037,-10285
"247","12285-12170","NC_044064.1","12285",14598353,14608930,"12170",14596099,14618715,"INV",17,20,17,3,3,20362,-12831
"248","12286-12228","NC_044064.1","12286",14626549,14639101,"12228",17188364,17198765,"INV",30,28,28,3,3,2572216,2549263
"249","12287-12172","NC_044064.1","12287",14684181,14702329,"12172",14689264,14700045,"INV",28,98,27,3,3,15864,-13065
"250","12289-12175","NC_044064.1","12289",14832997,14843480,"12175",14833924,14844370,"INV",29,29,29,3,3,11373,-9556
"251","12293-12180","NC_044064.1","12293",15017162,15031815,"12180",15018108,15034321,"INV",61,59,57,3,3,17159,-13707
"252","12297-12187","NC_044064.1","12297",15210098,15235373,"12187",15311942,15326270,"INV",149,138,138,3,3,116172,76569
"253","12298-12186","NC_044064.1","12298",15240519,15252232,"12186",15247840,15258324,"INV",19,19,19,3,3,17805,-4392
"254","12300-12218","NC_044064.1","12300",15312707,15323710,"12218",16519578,16530381,"INV",24,24,24,3,3,1217674,1195868
"255","12301-12190","NC_044064.1","12301",15410957,15429616,"12190",15441084,15452121,"INV",53,48,48,3,3,41164,11468
"256","12303-12192","NC_044064.1","12303",15514091,15531259,"12192",15512734,15534331,"INV",31,20,19,3,3,20240,-18525
"257","1231-1119","NC_044049.1","1231",15012714,15026382,"1119",15026017,15040423,"INV",43,43,43,3,3,27709,-365
"258","12315-12210","NC_044064.1","12315",16195828,16215894,"12210",16227985,16246730,"INV",16,16,16,3,3,50902,12091
"259","1232-1122","NC_044049.1","1232",15135185,15145646,"1122",15151770,15162258,"INV",193,193,193,3,3,27073,6124
"260","12344-12253","NC_044064.1","12344",18603462,18614025,"12253",18603919,18614389,"INV",48,48,48,3,3,10927,-10106
"261","12353-12266","NC_044064.1","12353",19177581,19188166,"12266",19181595,19192052,"INV",16,16,16,3,3,14471,-6571
"262","1236-1123","NC_044049.1","1236",15250674,15267670,"1123",15250827,15270648,"INV",87,87,87,3,3,19974,-16843
"263","12364-12290","NC_044064.1","12364",20127447,20157485,"12290",20164120,20194304,"INV",43,59,40,3,3,66857,6635
"264","12369-12296","NC_044064.1","12369",20364826,20376504,"12296",20711774,20722325,"INV",196,61,61,3,3,357499,335270
"265","12383-12317","NC_044065.1","12383",235970,253355,"12317",239697,250200,"INV",25,23,23,3,3,14230,-13658
"266","12401-12434","NC_044065.1","12401",1100473,1134241,"12434",6636735,6665106,"INV",79,61,61,3,3,5564633,5502494
"267","12451-12356","NC_044065.1","12451",2988183,3012644,"12356",3310239,3320949,"INV",71,69,69,3,3,332766,297595
"268","12502-12391","NC_044065.1","12502",4642588,4653290,"12391",4822741,4833247,"INV",43,43,43,3,3,190659,169451
"269","12530-12414","NC_044065.1","12530",5516705,5538895,"12414",5715221,5743695,"INV",33,29,25,3,3,226990,176326
"270","12541-12418","NC_044065.1","12541",5893518,5917942,"12418",5895093,5912991,"INV",27,25,24,3,3,19473,-22849
"271","12546-12433","NC_044065.1","12546",6069849,6122269,"12433",6603061,6621404,"INV",289,287,287,3,3,551555,480792
"272","12547-12425","NC_044065.1","12547",6173810,6184319,"12425",6191983,6202754,"INV",36,37,36,3,3,28944,7664
"273","12561-12462","NC_044065.1","12561",6677426,6687882,"12462",7793693,7812627,"INV",19,21,19,3,3,1135201,1105811
"274","1258-1151","NC_044049.1","1258",16009186,16020143,"1151",16098642,16123381,"INV",71,72,71,3,3,114195,78499
"275","1263-1154","NC_044049.1","1263",16162687,16177572,"1154",16155862,16187602,"INV",23,24,22,3,3,24915,-21710
"276","12630-12497","NC_044065.1","12630",9076951,9111014,"12497",9077991,9088674,"INV",70,65,65,3,3,11723,-33023
"277","12639-12506","NC_044065.1","12639",9412106,9423145,"12506",9422996,9433366,"INV",16,16,16,3,3,21260,-149
"278","12644-12678","NC_044065.1","12644",9605183,9621736,"12678",15666084,15677444,"INV",26,26,25,3,3,6072261,6044348
"279","12682-12550","NC_044065.1","12682",11367629,11382389,"12550",11373314,11406742,"INV",76,78,76,3,3,39113,-9075
"280","12687-12558","NC_044065.1","12687",11589534,11602068,"12558",11600487,11612441,"INV",49,47,46,3,3,22907,-1581
"281","12690-12561","NC_044065.1","12690",11776031,11794332,"12561",11779275,11794832,"INV",156,156,156,3,3,18801,-15057
"282","12702-12579","NC_044065.1","12702",12434122,12444637,"12579",12457473,12471417,"INV",86,86,86,3,3,37295,12836
"283","12707-12586","NC_044065.1","12707",12621137,12655378,"12586",12699588,12713567,"INV",26,23,22,3,3,92430,44210
"284","12753-12638","NC_044065.1","12753",14458062,14468799,"12638",14454870,14472155,"INV",27,28,27,3,3,14093,-13929
"285","12757-12643","NC_044065.1","12757",14588463,14598896,"12643",14595101,14605666,"INV",62,62,62,3,3,17203,-3795
"286","12801-12699","NC_044065.1","12801",16404454,16415671,"12699",16404490,16416229,"INV",21,21,21,3,3,11775,-11181
"287","12812-12726","NC_044065.1","12812",17071187,17085823,"12726",17365681,17384866,"INV",96,110,96,3,3,313679,279858
"288","12836-12751","NC_044065.1","12836",18155316,18165817,"12751",18162566,18173157,"INV",135,135,135,3,3,17841,-3251
"289","12843-12763","NC_044065.1","12843",18443164,18455999,"12763",18599511,18633877,"INV",34,22,18,3,3,190713,143512
"290","1285-1186","NC_044049.1","1285",17571661,17586713,"1186",17578149,17598333,"INV",22,21,21,3,3,26672,-8564
"291","12850-12779","NC_044065.1","12850",18995894,19006830,"12779",19298094,19313533,"INV",15,33,15,3,3,317639,291264
"292","12853-12779","NC_044065.1","12853",19136749,19153861,"12779",19298094,19313533,"INV",72,33,25,3,3,176784,144233
"293","12873-12804","NC_044065.1","12873",20463835,20483838,"12804",20473544,20501660,"INV",22,23,22,3,3,37825,-10294
"294","12875-12813","NC_044065.1","12875",20564848,20575692,"12813",20819783,20839460,"INV",20,21,20,3,3,274612,244091
"295","12876-12806","NC_044065.1","12876",20581297,20592201,"12806",20582149,20592933,"INV",23,23,23,3,3,11636,-10052
"296","12881-12814","NC_044065.1","12881",20854619,20867399,"12814",20854687,20869469,"INV",97,97,97,3,3,14850,-12712
"297","12890-12825","NC_044065.1","12890",21354047,21375150,"12825",21356695,21376929,"INV",22,22,22,3,3,22882,-18455
"298","12897-12834","NC_044065.1","12897",21646464,21664865,"12834",21646465,21670991,"INV",17,18,17,3,3,24527,-18400
"299","129-136","NC_044048.1","129",4570979,4611172,"136",7248165,7325263,"INV",38,193,26,3,3,2754284,2636993
"300","12933-12905","NC_044066.1","12933",250401,260967,"12905",255491,265918,"INV",93,93,93,3,3,15517,-5476
"301","12991-13085","NC_044066.1","12991",2536784,2547606,"13085",9820569,9836295,"INV",63,64,63,3,3,7299511,7272963
"302","13035-13196","NC_044066.1","13035",4080453,4091111,"13196",14635599,14646280,"INV",122,120,120,3,3,10565827,10544488
"303","13035-13198","NC_044066.1","13035",4080453,4091111,"13198",14710195,14725111,"INV",122,20,18,3,3,10644658,10619084
"304","13058-12969","NC_044066.1","13058",5008504,5020417,"12969",5008950,5025356,"INV",50,50,50,3,3,16852,-11467
"305","13061-12971","NC_044066.1","13061",5077201,5103830,"12971",5077947,5099040,"INV",253,253,253,3,3,21839,-25883
"306","13063-12974","NC_044066.1","13063",5144229,5159088,"12974",5145665,5158564,"INV",17,16,16,3,3,14335,-13423
"307","13073-12979","NC_044066.1","13073",5427247,5437824,"12979",5432929,5443282,"INV",30,30,30,3,3,16035,-4895
"308","13082-12988","NC_044066.1","13082",5786701,5797448,"12988",5788900,5799352,"INV",24,24,24,3,3,12651,-8548
"309","13098-13137","NC_044066.1","13098",6400307,6420739,"13137",11965178,11986290,"INV",90,58,57,3,3,5585983,5544439
"310","13142-13039","NC_044066.1","13142",7864576,7891931,"13039",7878597,7892063,"INV",47,46,45,3,3,27487,-13334
"311","13146-13041","NC_044066.1","13146",8024466,8035107,"13041",8014635,8040963,"INV",20,26,20,3,3,16497,-20472
"312","13149-13043","NC_044066.1","13149",8092104,8108358,"13043",8097585,8119685,"INV",22,24,20,3,3,27581,-10773
"313","1315-1232","NC_044049.1","1315",20558954,20569818,"1232",20663842,20685484,"INV",36,200,36,3,3,126530,94024
"314","1316-1232","NC_044049.1","1316",20588802,20622712,"1232",20663842,20685484,"INV",201,200,178,3,3,96682,41130
"315","13197-13267","NC_044066.1","13197",9779759,9790403,"13267",16991782,17018742,"INV",28,32,28,3,3,7238983,7201379
"316","1323-1239","NC_044049.1","1323",21017509,21032546,"1239",21020165,21043809,"INV",81,82,81,3,3,26300,-12381
"317","13259-13136","NC_044066.1","13259",11942455,11962111,"13136",11945559,11956800,"INV",51,51,50,3,3,14345,-16552
"318","1327-1244","NC_044049.1","1327",21240517,21263792,"1244",21241948,21257217,"INV",81,79,79,3,3,16700,-21844
"319","13273-13146","NC_044066.1","13273",12411890,12422916,"13146",12449364,12468923,"INV",249,249,249,3,3,57033,26448
"320","13321-13203","NC_044066.1","13321",14761141,14771791,"13203",14906001,14919971,"INV",41,42,41,3,3,158830,134210
"321","13341-13219","NC_044066.1","13341",15364113,15374685,"13219",15410895,15421448,"INV",34,34,34,3,3,57335,36210
"322","13347-13226","NC_044066.1","13347",15597290,15646482,"13226",15608101,15650356,"INV",288,64,56,3,3,53066,-38381
"323","13347-13227","NC_044066.1","13347",15597290,15646482,"13227",15659184,15688002,"INV",288,288,288,3,3,90712,12702
"324","13348-13227","NC_044066.1","13348",15665100,15675529,"13227",15659184,15688002,"INV",33,288,33,3,3,22902,-16345
"325","13356-13241","NC_044066.1","13356",15951017,15967317,"13241",16036928,16082483,"INV",125,27,22,3,3,131466,69611
"326","13356-13242","NC_044066.1","13356",15951017,15967317,"13242",16090881,16103188,"INV",125,41,41,3,3,152171,123564
"327","13356-13409","NC_044066.1","13356",15951017,15967317,"13409",21329980,21370492,"INV",125,42,40,3,3,5419475,5362663
"328","13377-13269","NC_044066.1","13377",16938475,16949403,"13269",17039041,17049480,"INV",71,71,71,3,3,111005,89638
"329","1338-1270","NC_044049.1","1338",21715996,21736970,"1270",22215008,22245152,"INV",24,27,23,3,3,529156,478038
"330","13392-13288","NC_044066.1","13392",17790609,17810725,"13288",17777049,17814947,"INV",65,69,65,3,3,24338,-33676
"331","13396-13293","NC_044066.1","13396",17964363,17974845,"13293",17997785,18019512,"INV",23,29,23,3,3,55149,22940
"332","13404-13303","NC_044066.1","13404",18282534,18296554,"13303",18282090,18296590,"INV",74,75,74,3,3,14056,-14464
"333","13421-13322","NC_044066.1","13421",18830140,18840809,"13322",18845998,18857909,"INV",23,25,23,3,3,27769,5189
"334","13450-13358","NC_044066.1","13450",19941829,19953716,"13358",19966955,19978210,"INV",41,41,41,3,3,36381,13239
"335","13477-13406","NC_044066.1","13477",21242645,21259206,"13406",21266113,21277944,"INV",194,191,191,3,3,35299,6907
"336","13482-13427","NC_044067.1","13482",120545,132070,"13427",121666,132099,"INV",29,29,29,3,3,11554,-10404
"337","13512-13436","NC_044067.1","13512",1264528,1322603,"13436",1265081,1297563,"INV",285,84,83,3,3,33035,-57522
"338","13512-13438","NC_044067.1","13512",1264528,1322603,"13438",1516812,1570387,"INV",285,290,281,3,3,305859,194209
"339","13515-13438","NC_044067.1","13515",1444112,1495877,"13438",1516812,1570387,"INV",260,290,260,3,3,126275,20935
"340","13516-13438","NC_044067.1","13516",1516068,1567498,"13438",1516812,1570387,"INV",255,290,253,3,3,54319,-50686
"341","13516-13439","NC_044067.1","13516",1516068,1567498,"13439",1578090,1592124,"INV",255,43,37,3,3,76056,10592
"342","13517-13621","NC_044067.1","13517",1568017,1578511,"13621",10821063,10838329,"INV",36,39,36,3,3,9270312,9242552
"343","1352-1274","NC_044049.1","1352",22313042,22330660,"1274",22312104,22330845,"INV",19,24,18,3,3,17803,-18556
"344","13534-13451","NC_044067.1","13534",2034810,2061430,"13451",2051236,2061534,"INV",123,118,118,3,3,26724,-10194
"345","13562-13465","NC_044067.1","13562",2885624,2918550,"13465",2899756,2925393,"INV",286,285,285,3,3,39769,-18794
"346","13566-13474","NC_044067.1","13566",3018371,3040839,"13474",3103998,3126058,"INV",43,57,41,3,3,107687,63159
"347","13567-13472","NC_044067.1","13567",3046905,3071688,"13472",3062421,3072908,"INV",183,33,33,3,3,26003,-9267
"348","13567-13891","NC_044067.1","13567",3046905,3071688,"13891",20654028,20664679,"INV",183,168,168,3,3,17617774,17582340
"349","13568-13474","NC_044067.1","13568",3108350,3131847,"13474",3103998,3126058,"INV",19,57,18,3,3,17708,-27849
"350","13587-13486","NC_044067.1","13587",3875162,3901115,"13486",3889196,3901150,"INV",80,79,79,3,3,25988,-11919
"351","13594-13492","NC_044067.1","13594",4189190,4199892,"13492",4189575,4199973,"INV",26,26,26,3,3,10783,-10317
"352","13596-13500","NC_044067.1","13596",4235312,4248214,"13500",4590357,4600815,"INV",289,289,289,3,3,365503,342143
"353","1362-1290","NC_044049.1","1362",22609872,22624879,"1290",23054615,23072402,"INV",21,24,21,3,3,462530,429736
"354","13633-13518","NC_044067.1","13633",5400220,5411458,"13518",5438715,5449111,"INV",21,19,19,3,3,48891,27257
"355","1365-1286","NC_044049.1","1365",22703350,22713813,"1286",22756307,22766893,"INV",23,23,23,3,3,63543,42494
"356","13672-13544","NC_044067.1","13672",6700535,6711055,"13544",6697567,6712417,"INV",26,27,26,3,3,11882,-13488
"357","1369-1370","NC_044049.1","1369",23071004,23084666,"1370",25715342,25726058,"INV",49,18,18,3,3,2655054,2630676
"358","1369-1380","NC_044049.1","1369",23071004,23084666,"1380",26112347,26123625,"INV",49,32,32,3,3,3052621,3027681
"359","13693-13561","NC_044067.1","13693",7719383,7731035,"13561",7721110,7735042,"INV",160,160,160,3,3,15659,-9925
"360","1370-1388","NC_044049.1","1370",23086075,23096564,"1388",26421007,26431495,"INV",48,48,48,3,3,3345420,3324443
"361","13714-13577","NC_044067.1","13714",8897481,8937592,"13577",8899155,8914209,"INV",41,18,18,3,3,16728,-38437
"362","13733-13679","NC_044067.1","13733",9995181,10018345,"13679",13235248,13250736,"INV",39,38,37,3,3,3255555,3216903
"363","1375-1295","NC_044049.1","1375",23405074,23422612,"1295",23412613,23426341,"INV",16,16,16,3,3,21267,-9999
"364","13756-13624","NC_044067.1","13756",10756868,10779464,"13624",10995140,11005771,"INV",49,46,46,3,3,248903,215676
"365","13778-13634","NC_044067.1","13778",11627905,11638350,"13634",11628294,11639257,"INV",147,147,147,3,3,11352,-10056
"366","13798-13654","NC_044067.1","13798",12253297,12273112,"13654",12247932,12273185,"INV",36,36,35,3,3,19888,-25180
"367","13805-13833","NC_044067.1","13805",12478010,12502038,"13833",18821095,18834514,"INV",48,46,44,3,3,6356504,6319057
"368","1382-1441","NC_044049.1","1382",23680646,23706916,"1441",28530542,28553084,"INV",35,152,31,3,3,4872438,4823626
"369","13823-13682","NC_044067.1","13823",13150687,13169845,"13682",13344841,13355274,"INV",17,16,16,3,3,204587,174996
"370","1389-1324","NC_044049.1","1389",23982799,23993895,"1324",24274043,24294514,"INV",44,44,43,3,3,311715,280148
"371","13908-13926","NC_044067.1","13908",16536399,16557950,"13926",21736546,21747080,"INV",68,27,15,3,3,5210681,5178596
"372","13942-13811","NC_044067.1","13942",18012208,18022629,"13811",18014056,18024503,"INV",30,30,30,3,3,12295,-8573
"373","13947-13908","NC_044067.1","13947",18254090,18271631,"13908",21205589,21234461,"INV",27,24,18,3,3,2980371,2933958
"374","13953-13824","NC_044067.1","13953",18539029,18561932,"13824",18539060,18562187,"INV",127,127,127,3,3,23158,-22872
"375","13963-13839","NC_044067.1","13963",18998673,19033570,"13839",18999184,19036546,"INV",19,23,18,3,3,37873,-34386
"376","13964-13861","NC_044067.1","13964",19046476,19070905,"13861",19768612,19780484,"INV",24,16,16,3,3,734008,697707
"377","13974-13855","NC_044067.1","13974",19628255,19638734,"13855",19619679,19644912,"INV",34,36,34,3,3,16657,-19055
"378","13992-13883","NC_044067.1","13992",20347240,20357712,"13883",20357216,20378897,"INV",25,33,25,3,3,31657,-496
"379","13996-13889","NC_044067.1","13996",20575988,20595484,"13889",20579656,20591396,"INV",19,17,17,3,3,15408,-15828
"380","14018-13932","NC_044067.1","14018",21431212,21451150,"13932",21969967,21983098,"INV",94,96,93,3,3,551886,518817
"381","14027-13927","NC_044067.1","14027",21779944,21790578,"13927",21780427,21794190,"INV",73,74,73,3,3,14246,-10151
"382","1403-1334","NC_044049.1","1403",24587068,24603490,"1334",24609345,24635871,"INV",92,144,89,3,3,48803,5855
"383","14032-13936","NC_044067.1","14032",22237486,22255438,"13936",22240024,22258203,"INV",65,65,65,3,3,20717,-15414
"384","14038-13947","NC_044067.1","14038",22610303,22620640,"13947",22613494,22636530,"INV",18,19,18,3,3,26227,-7146
"385","1404-1334","NC_044049.1","1404",24603982,24644895,"1334",24609345,24635871,"INV",94,144,81,3,3,31889,-35550
"386","1404-1337","NC_044049.1","1404",24603982,24644895,"1337",24682854,24708232,"INV",94,24,20,3,3,104250,37959
"387","14044-13964","NC_044067.1","14044",23261911,23272451,"13964",23264496,23274974,"INV",63,63,63,3,3,13063,-7955
"388","14088-14259","NC_044068.1","14088",1478863,1489319,"14259",11702176,11730967,"INV",22,91,22,3,3,10252104,10212857
"389","14119-14029","NC_044068.1","14119",2558587,2569616,"14029",2559309,2570325,"INV",115,114,114,3,3,11738,-10307
"390","14142-14056","NC_044068.1","14142",3540104,3556255,"14056",4066552,4080452,"INV",95,94,89,3,3,540348,510297
"391","14143-14166","NC_044068.1","14143",3564943,3600671,"14166",8623958,8653216,"INV",62,71,57,3,3,5088273,5023287
"392","14148-14050","NC_044068.1","14148",3716840,3737005,"14050",3717982,3740231,"INV",196,196,196,3,3,23391,-19023
"393","1424-1393","NC_044049.1","1424",25576451,25613638,"1393",26534677,26560347,"INV",46,43,20,3,3,983896,921039
"394","1425-1393","NC_044049.1","1425",25615031,25626840,"1393",26534677,26560347,"INV",29,43,23,3,3,945316,907837
"395","1426-1387","NC_044049.1","1426",25655378,25673529,"1387",26405193,26415828,"INV",49,48,48,3,3,760450,731664
"396","1437-1403","NC_044049.1","1437",26105603,26122489,"1403",26976002,26988458,"INV",57,44,41,3,3,882855,853513
"397","144-72","NC_044048.1","144",4979190,5016488,"72",5018249,5030904,"INV",64,52,51,3,3,51714,1761
"398","1440-1405","NC_044049.1","1440",26379223,26394466,"1405",27016474,27037837,"INV",225,226,225,3,3,658614,622008
"399","14416-14297","NC_044068.1","14416",13073407,13085043,"14297",13078327,13092084,"INV",60,61,60,3,3,18677,-6716
"400","14427-14315","NC_044068.1","14427",13527887,13543545,"14315",13529290,13540492,"INV",135,58,58,3,3,12605,-14255
"401","14427-14360","NC_044068.1","14427",13527887,13543545,"14360",14899253,14925404,"INV",135,109,107,3,3,1397517,1355708
"402","14431-14320","NC_044068.1","14431",13703653,13714105,"14320",13700354,13715432,"INV",42,43,42,3,3,11779,-13751
"403","14437-14332","NC_044068.1","14437",13931254,13952021,"14332",13959346,13972332,"INV",23,28,21,3,3,41078,7325
"404","14457-14500","NC_044068.1","14457",14858402,14872684,"14500",19801272,19820894,"INV",234,234,234,3,3,4962492,4928588
"405","14477-14397","NC_044068.1","14477",16042295,16052991,"14397",16052220,16071990,"INV",20,21,20,3,3,29695,-771
"406","14524-14472","NC_044068.1","14524",18604621,18623563,"14472",18616034,18626459,"INV",22,16,16,3,3,21838,-7529
"407","1454-1415","NC_044049.1","1454",27382125,27426687,"1415",27581532,27615130,"INV",182,175,175,3,3,233005,154845
"408","1455-1410","NC_044049.1","1455",27426838,27446512,"1410",27423425,27448333,"INV",31,41,28,3,3,21495,-23087
"409","14560-14518","NC_044068.1","14560",20645797,20656280,"14518",20646597,20657214,"INV",22,22,22,3,3,11417,-9683
"410","14568-14528","NC_044068.1","14568",21036917,21057229,"14528",21039555,21059609,"INV",118,118,118,3,3,22692,-17674
"411","14578-14544","NC_044068.1","14578",21908543,21919261,"14544",21912305,21923338,"INV",32,32,32,3,3,14795,-6956
"412","1459-1428","NC_044049.1","1459",28049612,28060120,"1428",28051091,28061699,"INV",67,67,67,3,3,12087,-9029
"413","14610-14580","NC_044069.1","14610",704329,726991,"14580",1652175,1676956,"INV",170,130,128,3,3,972627,925184
"414","14610-14582","NC_044069.1","14610",704329,726991,"14582",1754442,1789680,"INV",170,57,17,3,3,1085351,1027451
"415","14615-14586","NC_044069.1","14615",827100,839543,"14586",1893137,1903881,"INV",69,68,68,3,3,1076781,1053594
"416","14616-14574","NC_044069.1","14616",847337,880147,"14574",1434093,1449746,"INV",89,90,84,3,3,602409,553946
"417","14617-14570","NC_044069.1","14617",894810,931148,"14570",1348549,1367029,"INV",259,225,222,3,3,472219,417401
"418","14617-14576","NC_044069.1","14617",894810,931148,"14576",1499389,1514389,"INV",259,22,17,3,3,619579,568241
"419","14617-14577","NC_044069.1","14617",894810,931148,"14577",1527085,1543943,"INV",259,80,78,3,3,649133,595937
"420","14617-14581","NC_044069.1","14617",894810,931148,"14581",1733025,1751796,"INV",259,88,87,3,3,856986,801877
"421","14617-14582","NC_044069.1","14617",894810,931148,"14582",1754442,1789680,"INV",259,57,38,3,3,894870,823294
"422","14617-14583","NC_044069.1","14617",894810,931148,"14583",1838597,1850218,"INV",259,52,52,3,3,955408,907449
"423","14618-14563","NC_044069.1","14618",932198,958267,"14563",995699,1007330,"INV",27,22,22,3,3,75132,37432
"424","14627-14569","NC_044069.1","14627",1309951,1340428,"14569",1326365,1336881,"INV",99,97,97,3,3,26930,-14063
"425","14635-14705","NC_044069.1","14635",1549038,1569749,"14705",7831743,7842416,"INV",39,38,38,3,3,6293378,6261994
"426","14639-14589","NC_044069.1","14639",2018031,2040481,"14589",2037133,2048291,"INV",53,48,48,3,3,30260,-3348
"427","14640-14600","NC_044069.1","14640",2045534,2073588,"14600",2480807,2528724,"INV",236,236,236,3,3,483190,407219
"428","1465-1441","NC_044049.1","1465",28456691,28474401,"1441",28530542,28553084,"INV",127,152,126,3,3,96393,56141
"429","14656-14599","NC_044069.1","14656",2450738,2461409,"14599",2457745,2468282,"INV",48,48,48,3,3,17544,-3664
"430","14659-14609","NC_044069.1","14659",2497453,2514185,"14609",2837380,2861379,"INV",18,44,17,3,3,363926,323195
"431","1467-1442","NC_044050.1","1467",26809,49881,"1442",30527,49671,"INV",198,66,66,3,3,22862,-19354
"432","1467-1510","NC_044050.1","1467",26809,49881,"1510",3827246,3853712,"INV",198,182,181,3,3,3826903,3777365
"433","14671-14625","NC_044069.1","14671",2866864,2886428,"14625",3806250,3852046,"INV",64,292,31,3,3,985182,919822
"434","14672-14612","NC_044069.1","14672",2947596,2985433,"14612",2965901,2984286,"INV",136,130,130,3,3,36690,-19532
"435","14673-14614","NC_044069.1","14673",3007390,3032747,"14614",3017820,3035206,"INV",18,20,17,3,3,27816,-14927
"436","14680-14626","NC_044069.1","14680",3194703,3219493,"14626",3853375,3921724,"INV",77,220,77,3,3,727021,633882
"437","14683-14625","NC_044069.1","14683",3251253,3276531,"14625",3806250,3852046,"INV",30,292,15,3,3,600793,529719
"438","14684-14626","NC_044069.1","14684",3279972,3297805,"14626",3853375,3921724,"INV",62,220,40,3,3,641752,555570
"439","14684-14627","NC_044069.1","14684",3279972,3297805,"14627",3997104,4047440,"INV",62,188,24,3,3,767468,699299
"440","14687-14625","NC_044069.1","14687",3406600,3475190,"14625",3806250,3852046,"INV",211,292,137,3,3,445446,331060
"441","14687-14626","NC_044069.1","14687",3406600,3475190,"14626",3853375,3921724,"INV",211,220,55,3,3,515124,378185
"442","14687-14627","NC_044069.1","14687",3406600,3475190,"14627",3997104,4047440,"INV",211,188,119,3,3,640840,521914
"443","14688-14624","NC_044069.1","14688",3510161,3574383,"14624",3778615,3796741,"INV",280,116,112,3,3,286580,204232
"444","14688-14625","NC_044069.1","14688",3510161,3574383,"14625",3806250,3852046,"INV",280,292,275,3,3,341885,231867
"445","14688-14626","NC_044069.1","14688",3510161,3574383,"14626",3853375,3921724,"INV",280,220,51,3,3,411563,278992
"446","14688-14627","NC_044069.1","14688",3510161,3574383,"14627",3997104,4047440,"INV",280,188,68,3,3,537279,422721
"447","14689-14625","NC_044069.1","14689",3576072,3629334,"14625",3806250,3852046,"INV",203,292,188,3,3,275974,176916
"448","14689-14626","NC_044069.1","14689",3576072,3629334,"14626",3853375,3921724,"INV",203,220,27,3,3,345652,224041
"449","14689-14627","NC_044069.1","14689",3576072,3629334,"14627",3997104,4047440,"INV",203,188,35,3,3,471368,367770
"450","14690-14625","NC_044069.1","14690",3636707,3656158,"14625",3806250,3852046,"INV",48,292,23,3,3,215339,150092
"451","14691-14626","NC_044069.1","14691",3657411,3706069,"14626",3853375,3921724,"INV",131,220,113,3,3,264313,147306
"452","14691-14627","NC_044069.1","14691",3657411,3706069,"14627",3997104,4047440,"INV",131,188,20,3,3,390029,291035
"453","147-276","NC_044048.1","147",5097200,5108166,"276",12035395,12050473,"INV",58,59,58,3,3,6953273,6927229
"454","14708-14632","NC_044069.1","14708",4343660,4387728,"14632",4361341,4386268,"INV",123,19,18,3,3,42608,-26387
"455","14708-14697","NC_044069.1","14708",4343660,4387728,"14697",7503382,7517601,"INV",123,121,110,3,3,3173941,3115654
